temp,egg,L1,L2,L3,L4
-15.0,0.7235809662822611,4.610405511715381e26,4.610405511715381e26,4.610405511715381e26,4.610405511715381e26
-14.99,0.7223105634168037,4.301969590672578e26,4.301969590672578e26,4.301969590672578e26,4.301969590672578e26
-14.98,0.7210423910183095,4.014384458273278e26,4.014384458273278e26,4.014384458273278e26,4.014384458273278e26
-14.97,0.7197764451707115,3.7462261665534896e26,3.7462261665534896e26,3.7462261665534896e26,3.7462261665534896e26
-14.96,0.7185127219648181,3.496168980512726e26,3.496168980512726e26,3.496168980512726e26,3.496168980512726e26
-14.95,0.7172512174983008,3.2629785383431345e26,3.2629785383431345e26,3.2629785383431345e26,3.2629785383431345e26
-14.94,0.7159919278756834,3.0455054925124098e26,3.0455054925124098e26,3.0455054925124098e26,3.0455054925124098e26
-14.93,0.7147348492083282,2.842679597581302e26,2.842679597581302e26,2.842679597581302e26,2.842679597581302e26
-14.92,0.7134799776144254,2.6535042130811293e26,2.6535042130811293e26,2.6535042130811293e26,2.6535042130811293e26
-14.91,0.7122273092189797,2.477051192041587e26,2.477051192041587e26,2.477051192041587e26,2.477051192041587e26
-14.9,0.7109768401537999,2.3124561278617566e26,2.3124561278617566e26,2.3124561278617566e26,2.3124561278617566e26
-14.89,0.7097285665574862,2.1589139341696692e26,2.1589139341696692e26,2.1589139341696692e26,2.1589139341696692e26
-14.88,0.7084824845754182,2.015674734124729e26,2.015674734124729e26,2.015674734124729e26,2.015674734124729e26
-14.87,0.7072385903597429,1.8820400372977235e26,1.8820400372977235e26,1.8820400372977235e26,1.8820400372977235e26
-14.86,0.7059968800693638,1.7573591838226567e26,1.7573591838226567e26,1.7573591838226567e26,1.7573591838226567e26
-14.85,0.7047573498699276,1.6410260369612646e26,1.6410260369612646e26,1.6410260369612646e26,1.6410260369612646e26
-14.84,0.7035199959338132,1.5324759065632863e26,1.5324759065632863e26,1.5324759065632863e26,1.5324759065632863e26
-14.83,0.7022848144401194,1.4311826871533809e26,1.4311826871533809e26,1.4311826871533809e26,1.4311826871533809e26
-14.82,0.7010518015746539,1.3366561955311104e26,1.3366561955311104e26,1.3366561955311104e26,1.3366561955311104e26
-14.81,0.6998209535299208,1.2484396938451893e26,1.2484396938451893e26,1.2484396938451893e26,1.2484396938451893e26
-14.8,0.6985922665051093,1.1661075850997794e26,1.1661075850997794e26,1.1661075850997794e26,1.1661075850997794e26
-14.79,0.6973657367060812,1.0892632689762649e26,1.0892632689762649e26,1.0892632689762649e26,1.0892632689762649e26
-14.78,0.6961413603453608,1.0175371467130258e26,1.0175371467130258e26,1.0175371467130258e26,1.0175371467130258e26
-14.77,0.694919133642121,9.505847645836148e25,9.505847645836148e25,9.505847645836148e25,9.505847645836148e25
-14.76,0.6936990528221734,8.88085086254419e25,8.88085086254419e25,8.88085086254419e25,8.88085086254419e25
-14.75,0.6924811141179559,8.297388849906575e25,8.297388849906575e25,8.297388849906575e25,8.297388849906575e25
-14.74,0.6912653137685207,7.752672473183261e25,7.752672473183261e25,7.752672473183261e25,7.752672473183261e25
-14.73,0.6900516480195238,7.244101803425161e25,7.244101803425161e25,7.244101803425161e25,7.244101803425161e25
-14.72,0.6888401131232124,6.769253154739805e25,6.769253154739805e25,6.769253154739805e25,6.769253154739805e25
-14.71,0.6876307053384139,6.325867018265372e25,6.325867018265372e25,6.325867018265372e25,6.325867018265372e25
-14.7,0.6864234209305238,5.91183683023716e25,5.91183683023716e25,5.91183683023716e25,5.91183683023716e25
-14.69,0.6852182561714951,5.525198515941171e25,5.525198515941171e25,5.525198515941171e25,5.525198515941171e25
-14.68,0.6840152073398258,5.164120755447351e25,5.164120755447351e25,5.164120755447351e25,5.164120755447351e25
-14.67,0.6828142707205477,4.826895920826821e25,4.826895920826821e25,4.826895920826821e25,4.826895920826821e25
-14.66,0.6816154426052154,4.5119316380907874e25,4.5119316380907874e25,4.5119316380907874e25,4.5119316380907874e25
-14.65,0.6804187192918939,4.217742930378701e25,4.217742930378701e25,4.217742930378701e25,4.217742930378701e25
-14.64,0.6792240970851482,3.942944901974589e25,3.942944901974589e25,3.942944901974589e25,3.942944901974589e25
-14.63,0.6780315722960313,3.6862459255686248e25,3.6862459255686248e25,3.6862459255686248e25,3.6862459255686248e25
-14.62,0.6768411412420727,3.4464412978165555e25,3.4464412978165555e25,3.4464412978165555e25,3.4464412978165555e25
-14.61,0.6756528002472683,3.222407330699158e25,3.222407330699158e25,3.222407330699158e25,3.222407330699158e25
-14.6,0.6744665456420668,3.013095848460237e25,3.013095848460237e25,3.013095848460237e25,3.013095848460237e25
-14.59,0.67328237376336,2.8175290620171483e25,2.8175290620171483e25,2.8175290620171483e25,2.8175290620171483e25
-14.58,0.6721002809544714,2.634794794703758e25,2.634794794703758e25,2.634794794703758e25,2.634794794703758e25
-14.57,0.6709202635651443,2.4640420350322313e25,2.4640420350322313e25,2.4640420350322313e25,2.4640420350322313e25
-14.56,0.6697423179515305,2.3044767938598044e25,2.3044767938598044e25,2.3044767938598044e25,2.3044767938598044e25
-14.55,0.6685664404761799,2.1553582449234348e25,2.1553582449234348e25,2.1553582449234348e25,2.1553582449234348e25
-14.54,0.6673926275080282,2.015995129174254e25,2.015995129174254e25,2.015995129174254e25,2.015995129174254e25
-14.53,0.6662208754223872,1.8857424047069125e25,1.8857424047069125e25,1.8857424047069125e25,1.8857424047069125e25
-14.52,0.6650511806009316,1.763998125346778e25,1.763998125346778e25,1.763998125346778e25,1.763998125346778e25
-14.51,0.6638835394316893,1.6502005321380584e25,1.6502005321380584e25,1.6502005321380584e25,1.6502005321380584e25
-14.5,0.6627179483090296,1.5438253430709543e25,1.5438253430709543e25,1.5438253430709543e25,1.5438253430709543e25
-14.49,0.6615544036336529,1.444383227405664e25,1.444383227405664e25,1.444383227405664e25,1.444383227405664e25
-14.48,0.6603929018125777,1.351417451898536e25,1.351417451898536e25,1.351417451898536e25,1.351417451898536e25
-14.47,0.6592334392591318,1.2645016871171625e25,1.2645016871171625e25,1.2645016871171625e25,1.2645016871171625e25
-14.46,0.6580760123929399,1.1832379628506656e25,1.1832379628506656e25,1.1832379628506656e25,1.1832379628506656e25
-14.45,0.6569206176399125,1.1072547623830931e25,1.1072547623830931e25,1.1072547623830931e25,1.1072547623830931e25
-14.44,0.655767251432236,1.0362052461075528e25,1.0362052461075528e25,1.0362052461075528e25,1.0362052461075528e25
-14.43,0.6546159102083602,9.697655956169514e24,9.697655956169514e24,9.697655956169514e24,9.697655956169514e24
-14.42,0.6534665904129879,9.076334700212179e24,9.076334700212179e24,9.076334700212179e24,9.076334700212179e24
-14.41,0.6523192884970646,8.495265668108851e24,8.495265668108851e24,8.495265668108851e24,8.495265668108851e24
-14.4,0.6511740009177663,7.951812801173811e24,7.951812801173811e24,7.951812801173811e24,7.951812801173811e24
-14.39,0.6500307241384893,7.443514497142185e24,7.443514497142185e24,7.443514497142185e24,7.443514497142185e24
-14.38,0.6488894546288395,6.968071945624643e24,6.968071945624643e24,6.968071945624643e24,6.968071945624643e24
-14.37,0.6477501888646205,6.523338251307429e24,6.523338251307429e24,6.523338251307429e24,6.523338251307429e24
-14.36,0.6466129233278247,6.107308291180018e24,6.107308291180018e24,6.107308291180018e24,6.107308291180018e24
-14.35,0.6454776545066199,5.718109255765769e24,5.718109255765769e24,5.718109255765769e24,5.718109255765769e24
-14.34,0.64434437889534,5.353991827778605e24,5.353991827778605e24,5.353991827778605e24,5.353991827778605e24
-14.33,0.6432130929944742,5.013321954825095e24,5.013321954825095e24,5.013321954825095e24,5.013321954825095e24
-14.32,0.6420837933106552,4.694573175756015e24,4.694573175756015e24,4.694573175756015e24,4.694573175756015e24
-14.31,0.64095647635665,4.3963194630425197e24,4.3963194630425197e24,4.3963194630425197e24,4.3963194630425197e24
-14.3,0.6398311386513471,4.117228546134629e24,4.117228546134629e24,4.117228546134629e24,4.117228546134629e24
-14.29,0.6387077767197471,3.856055683162232e24,3.856055683162232e24,3.856055683162232e24,3.856055683162232e24
-14.28,0.6375863870929528,3.611637850574236e24,3.611637850574236e24,3.611637850574236e24,3.611637850574236e24
-14.27,0.6364669663081561,3.3828883223941793e24,3.3828883223941793e24,3.3828883223941793e24,3.3828883223941793e24
-14.26,0.6353495109086295,3.1687916127079986e24,3.1687916127079986e24,3.1687916127079986e24,3.1687916127079986e24
-14.25,0.6342340174437135,2.9683987568033896e24,2.9683987568033896e24,2.9683987568033896e24,2.9683987568033896e24
-14.24,0.6331204824688083,2.780822908060488e24,2.780822908060488e24,2.780822908060488e24,2.780822908060488e24
-14.23,0.6320089025453609,2.605235229255524e24,2.605235229255524e24,2.605235229255524e24,2.605235229255524e24
-14.22,0.6308992742408555,2.440861058397148e24,2.440861058397148e24,2.440861058397148e24,2.440861058397148e24
-14.21,0.6297915941288028,2.2869763305689498e24,2.2869763305689498e24,2.2869763305689498e24,2.2869763305689498e24
-14.2,0.6286858587887298,2.142904238514777e24,2.142904238514777e24,2.142904238514777e24,2.142904238514777e24
-14.19,0.6275820648061692,2.0080121158788592e24,2.0080121158788592e24,2.0080121158788592e24,2.0080121158788592e24
-14.18,0.6264802087726477,1.881708528107168e24,1.881708528107168e24,1.881708528107168e24,1.881708528107168e24
-14.17,0.6253802872856765,1.763440557035974e24,1.763440557035974e24,1.763440557035974e24,1.763440557035974e24
-14.16,0.624282296948741,1.6526912661435022e24,1.6526912661435022e24,1.6526912661435022e24,1.6526912661435022e24
-14.15,0.6231862343712897,1.5489773343240778e24,1.5489773343240778e24,1.5489773343240778e24,1.5489773343240778e24
-14.14,0.6220920961687242,1.4518468468688328e24,1.4518468468688328e24,1.4518468468688328e24,1.4518468468688328e24
-14.13,0.6209998789623875,1.3608772331036435e24,1.3608772331036435e24,1.3608772331036435e24,1.3608772331036435e24
-14.12,0.6199095793795555,1.275673340850142e24,1.275673340850142e24,1.275673340850142e24,1.275673340850142e24
-14.11,0.6188211940534258,1.1958656385416148e24,1.1958656385416148e24,1.1958656385416148e24,1.1958656385416148e24
-14.1,0.6177347196231067,1.1211085364454608e24,1.1211085364454608e24,1.1211085364454608e24,1.1211085364454608e24
-14.09,0.6166501527336072,1.0510788190225859e24,1.0510788190225859e24,1.0510788190225859e24,1.0510788190225859e24
-14.08,0.615567490035827,9.854741809920544e23,9.854741809920544e23,9.854741809920544e23,9.854741809920544e23
-14.07,0.6144867281865457,9.240118601715991e23,9.240118601715991e23,9.240118601715991e23,9.240118601715991e23
-14.06,0.6134078638484126,8.664273606316329e23,8.664273606316329e23,8.664273606316329e23,8.664273606316329e23
-14.05,0.612330893689937,8.124732601367581e23,8.124732601367581e23,8.124732601367581e23,8.124732601367581e23
-14.04,0.6112558143854758,7.61918096254429e23,7.61918096254429e23,7.61918096254429e23,7.61918096254429e23
-14.03,0.610182622615227,7.145453258889553e23,7.145453258889553e23,7.145453258889553e23,7.145453258889553e23
-14.02,0.6091113150652157,6.70152353351812e23,6.70152353351812e23,6.70152353351812e23,6.70152353351812e23
-14.01,0.6080418884272856,6.285496224080022e23,6.285496224080022e23,6.285496224080022e23,6.285496224080022e23
-14.0,0.606974339399089,5.895597680445446e23,5.895597680445446e23,5.895597680445446e23,5.895597680445446e23
-13.99,0.6059086646840758,5.530168239929027e23,5.530168239929027e23,5.530168239929027e23,5.530168239929027e23
-13.98,0.604844860991484,5.1876548230338945e23,5.1876548230338945e23,5.1876548230338945e23,5.1876548230338945e23
-13.97,0.6037829250363292,4.866604015178362e23,4.866604015178362e23,4.866604015178362e23,4.866604015178362e23
